ID,Book,PDF page,Printed page,Section,Content,Type,Classification,Severity,Frequency,Friction,Priority,Current App Path,Searchable? / tested query,Context-linked?,Table view?,Problem,Recommended minimal fix,Need ID,Solution categories,Workflows
core-combat,MÖRK BORG Bare Bones,30,30,"Melee, ranged, defence and enemy action count","Melee, ranged, defence and enemy action count",Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.violence,"yes: Melee, ranged, defence and enemy action count",partial,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-combat,,Character
core-full-combat,MÖRK BORG Full Edition (Second Printing),33,29,"Melee, ranged, defence and enemy action count","Melee, ranged, defence and enemy action count",Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.violence,"yes: Melee, ranged, defence and enemy action count",partial,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-combat,,Character
core-round-duration,MÖRK BORG Bare Bones,31,31,Round: action plus room movement; ten rounds/minute,Round: action plus room movement; ten rounds/minute,Rule,PARTIAL,P2,3,3,9,Reference Desk > rule:core.violence,indirect: Round: action plus room movement; ten rounds/minute,no,n/a,Combat reminder does not state round duration or movement allowance; no other current reference holds the Core timing paragraph.,Add one compact timing line to combat rule.,core-round-duration,QUICK_RULE,Character
core-full-round-duration,MÖRK BORG Full Edition (Second Printing),34,30,Round: action plus room movement; ten rounds/minute,Round: action plus room movement; ten rounds/minute,Rule,PARTIAL,P2,3,3,9,Reference Desk > rule:core.violence,indirect: Round: action plus room movement; ten rounds/minute,no,n/a,Combat reminder does not state round duration or movement allowance; no other current reference holds the Core timing paragraph.,Add one compact timing line to combat rule.,core-round-duration,QUICK_RULE,Character
core-crit-fumble,MÖRK BORG Bare Bones,31,31,Crit/Fumble and persistent damaged-armor penalties,Crit/Fumble and persistent damaged-armor penalties,Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.crit-fumble,yes: Crit/Fumble and persistent damaged-armor penalties,no,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-crit-fumble,,Character
core-full-crit-fumble,MÖRK BORG Full Edition (Second Printing),33,29,Crit/Fumble and persistent damaged-armor penalties,Crit/Fumble and persistent damaged-armor penalties,Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.crit-fumble,yes: Crit/Fumble and persistent damaged-armor penalties,no,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-crit-fumble,,Character
core-armor-use,MÖRK BORG Bare Bones,23,23,"Armor tiers, DR penalties and shield break","Armor tiers, DR penalties and shield break",Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.armor-shield,"yes: Armor tiers, DR penalties and shield break",no,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-armor-use,,Character
core-full-armor-use,MÖRK BORG Full Edition (Second Printing),28,24,"Armor tiers, DR penalties and shield break","Armor tiers, DR penalties and shield break",Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.armor-shield,"yes: Armor tiers, DR penalties and shield break",no,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-armor-use,,Character
core-hp-broken,MÖRK BORG Bare Bones,29,29,HP0 Broken versus negative HP death,HP0 Broken versus negative HP death,Rule,RESOLVED,—,4,1,4,Reference Desk > rule:core.broken,yes: HP0 Broken versus negative HP death,partial,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-hp-broken,,Character
core-full-hp-broken,MÖRK BORG Full Edition (Second Printing),32; 33,"28,29",HP0 Broken versus negative HP death,HP0 Broken versus negative HP death,Rule,RESOLVED,—,4,1,4,Reference Desk > rule:core.broken,yes: HP0 Broken versus negative HP death,partial,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-hp-broken,,Character
core-broken-results,MÖRK BORG Bare Bones,29,29,Broken d4 outcomes and d6 injury follow-up,Broken d4 outcomes and d6 injury follow-up,Rule,RESOLVED,—,4,1,4,Reference Desk > oracle:core.broken > core.brokenInjury,yes: Broken d4 outcomes and d6 injury follow-up,partial,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-broken-results,,Character
core-full-broken-results,MÖRK BORG Full Edition (Second Printing),33,29,Broken d4 outcomes and d6 injury follow-up,Broken d4 outcomes and d6 injury follow-up,Rule,RESOLVED,—,4,1,4,Reference Desk > oracle:core.broken > core.brokenInjury,yes: Broken d4 outcomes and d6 injury follow-up,partial,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-broken-results,,Character
core-rest,MÖRK BORG Bare Bones,31,31,Rest and HP recovery,Rest and HP recovery,Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.rest,yes: Rest and HP recovery,yes,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-rest,,Character
core-full-rest,MÖRK BORG Full Edition (Second Printing),35,31,Rest and HP recovery,Rest and HP recovery,Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.rest,yes: Rest and HP recovery,yes,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-rest,,Character
core-starvation,MÖRK BORG Bare Bones,31,31,No food/water and starvation after two days,No food/water and starvation after two days,Rule,PRESENT_BUT_INDIRECT,P2,4,3,12,Reference Desk > rule:core.rest,indirect: food; water; thirst; rest,partial,n/a,"Mechanics are complete inside Rest, but food/thirst searches do not target this rule; the player must know which rule holds the condition.","Index starvation, thirst, food and water aliases to Rest.",core-starvation,SEARCH_ALIAS,Character
core-full-starvation,MÖRK BORG Full Edition (Second Printing),35,31,No food/water and starvation after two days,No food/water and starvation after two days,Rule,PRESENT_BUT_INDIRECT,P2,4,3,12,Reference Desk > rule:core.rest,indirect: food; water; thirst; rest,partial,n/a,"Mechanics are complete inside Rest, but food/thirst searches do not target this rule; the player must know which rule holds the condition.","Index starvation, thirst, food and water aliases to Rest.",core-starvation,SEARCH_ALIAS,Character
core-infection,MÖRK BORG Bare Bones,31,31,"Infection: no rest healing, daily d6 HP loss","Infection: no rest healing, daily d6 HP loss",Rule,PRESENT_BUT_INDIRECT,P2,4,3,12,Reference Desk > rule:core.rest,indirect: infection; rest,partial,n/a,Complete rule lives inside Rest but exact infection query returns no result in fresh search scan.,Index infection/감염 to the existing Rest rule.,core-infection,SEARCH_ALIAS,Character
core-full-infection,MÖRK BORG Full Edition (Second Printing),35,31,"Infection: no rest healing, daily d6 HP loss","Infection: no rest healing, daily d6 HP loss",Rule,PRESENT_BUT_INDIRECT,P2,4,3,12,Reference Desk > rule:core.rest,indirect: infection; rest,partial,n/a,Complete rule lives inside Rest but exact infection query returns no result in fresh search scan.,Index infection/감염 to the existing Rest rule.,core-infection,SEARCH_ALIAS,Character
core-reaction,MÖRK BORG Bare Bones,32,32,Uncertain reaction: 2d6 table,Uncertain reaction: 2d6 table,Rule,RESOLVED,—,5,1,5,Reference Desk > oracle:core.reaction,yes: Uncertain reaction: 2d6 table,yes,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-reaction,,Character
core-full-reaction,MÖRK BORG Full Edition (Second Printing),35,31,Uncertain reaction: 2d6 table,Uncertain reaction: 2d6 table,Rule,RESOLVED,—,5,1,5,Reference Desk > oracle:core.reaction,yes: Uncertain reaction: 2d6 table,yes,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-reaction,,Character
core-morale,MÖRK BORG Bare Bones,32,32,"Morale triggers, 2d6 comparison and flee/surrender","Morale triggers, 2d6 comparison and flee/surrender",Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.reaction-morale / oracle:core.failedMorale,"yes: Morale triggers, 2d6 comparison and flee/surrender",yes,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-morale,,Character
core-full-morale,MÖRK BORG Full Edition (Second Printing),35,31,"Morale triggers, 2d6 comparison and flee/surrender","Morale triggers, 2d6 comparison and flee/surrender",Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.reaction-morale / oracle:core.failedMorale,"yes: Morale triggers, 2d6 comparison and flee/surrender",yes,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-morale,,Character
core-improvement,MÖRK BORG Bare Bones,33,33,"Getting Better: HP, abilities and debris","Getting Better: HP, abilities and debris",Rule,RESOLVED,—,2,1,2,Reference Desk > rule:core.improvement / oracle:core.gettingBetterDebris,"yes: Getting Better: HP, abilities and debris",no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-improvement,,Character
core-full-improvement,MÖRK BORG Full Edition (Second Printing),37,33,"Getting Better: HP, abilities and debris","Getting Better: HP, abilities and debris",Rule,RESOLVED,—,2,1,2,Reference Desk > rule:core.improvement / oracle:core.gettingBetterDebris,"yes: Getting Better: HP, abilities and debris",no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-improvement,,Character
core-casting,MÖRK BORG Bare Bones,34,34,"Casting: Presence DR12, success cost and failure consequences","Casting: Presence DR12, success cost and failure consequences",Rule,PRESENT_BUT_INDIRECT,P2,5,3,15,Reference Desk > rule:core.casting,indirect: Powers; Using Powers; 권능; 마법,no,n/a,"The complete casting rule is available under Using Powers, but ordinary Powers search puts Mythic, RECLVSE, Fletcher and Omens ahead of it. None of the top five exposes the Core casting rule.",Rank Core casting for Powers/권능/마법 and link the existing rule from scroll results.,core-casting,SEARCH_RANKING; SEARCH_ALIAS; RESULT_LINK,Character
core-full-casting,MÖRK BORG Full Edition (Second Printing),38,34,"Casting: Presence DR12, success cost and failure consequences","Casting: Presence DR12, success cost and failure consequences",Rule,PRESENT_BUT_INDIRECT,P2,5,3,15,Reference Desk > rule:core.casting,indirect: Powers; Using Powers; 권능; 마법,no,n/a,"The complete casting rule is available under Using Powers, but ordinary Powers search puts Mythic, RECLVSE, Fletcher and Omens ahead of it. None of the top five exposes the Core casting rule.",Rank Core casting for Powers/권능/마법 and link the existing rule from scroll results.,core-casting,SEARCH_RANKING; SEARCH_ALIAS; RESULT_LINK,Character
core-powers-daily,MÖRK BORG Bare Bones,34,34,Daily Power usage: Presence+d4 each morning,Daily Power usage: Presence+d4 each morning,Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.omens,yes: Daily Power usage: Presence+d4 each morning,partial,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-powers-daily,,Character
core-full-powers-daily,MÖRK BORG Full Edition (Second Printing),38,34,Daily Power usage: Presence+d4 each morning,Daily Power usage: Presence+d4 each morning,Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.omens,yes: Daily Power usage: Presence+d4 each morning,partial,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-powers-daily,,Character
core-scroll-restrictions,MÖRK BORG Bare Bones,23,23,Scroll restrictions: two-handed weapon and armor; Priest exception,Scroll restrictions: two-handed weapon and armor; Priest exception,Rule,PARTIAL,P2,4,3,12,Reference Desk > rule:core.armor-shield / Character > Priest > Class features,indirect: Scroll restrictions: two-handed weapon and armor; Priest exception,no,n/a,"General prohibition is available; Heretical Priest medium-armor exception appears only on a generated Priest, not beside the rule.",Link the Priest exception from the armor/casting rule without changing class creation.,core-scroll-restrictions,CLASS_REFERENCE; CONTEXT_LINK,Character
core-full-scroll-restrictions,MÖRK BORG Full Edition (Second Printing),28; 59,"24,55",Scroll restrictions: two-handed weapon and armor; Priest exception,Scroll restrictions: two-handed weapon and armor; Priest exception,Rule,PARTIAL,P2,4,3,12,Reference Desk > rule:core.armor-shield / Character > Priest > Class features,indirect: Scroll restrictions: two-handed weapon and armor; Priest exception,no,n/a,"General prohibition is available; Heretical Priest medium-armor exception appears only on a generated Priest, not beside the rule.",Link the Priest exception from the armor/casting rule without changing class creation.,core-scroll-restrictions,CLASS_REFERENCE; CONTEXT_LINK,Character
core-omens-refill,MÖRK BORG Bare Bones,37,37,Omens starting die and depleted-only six-hour refill,Omens starting die and depleted-only six-hour refill,Rule,RESOLVED,—,4,1,4,Reference Desk > rule:core.omens,yes: Omens starting die and depleted-only six-hour refill,partial,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-omens-refill,,Character
core-full-omens-refill,MÖRK BORG Full Edition (Second Printing),42,38,Omens starting die and depleted-only six-hour refill,Omens starting die and depleted-only six-hour refill,Rule,RESOLVED,—,4,1,4,Reference Desk > rule:core.omens,yes: Omens starting die and depleted-only six-hour refill,partial,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-omens-refill,,Character
core-omens-spending,MÖRK BORG Bare Bones,37,37,The five permitted Omen expenditures,The five permitted Omen expenditures,Rule,PARTIAL,P1,5,5,25,Reference Desk > rule:core.omens,indirect: The five permitted Omen expenditures,partial,n/a,"The named Omens rule contains refill and daily Powers only. Maximum damage, reroll, d6 damage reduction, Crit/Fumble neutralization and DR-4 expenditures are absent from source-backed reference content.",Add the five source options to the existing Omens rule.,core-omens-spending,QUICK_RULE,Character
core-full-omens-spending,MÖRK BORG Full Edition (Second Printing),42,38,The five permitted Omen expenditures,The five permitted Omen expenditures,Rule,PARTIAL,P1,5,5,25,Reference Desk > rule:core.omens,indirect: The five permitted Omen expenditures,partial,n/a,"The named Omens rule contains refill and daily Powers only. Maximum damage, reroll, d6 damage reduction, Crit/Fumble neutralization and DR-4 expenditures are absent from source-backed reference content.",Add the five source options to the existing Omens rule.,core-omens-spending,QUICK_RULE,Character
core-calendar,MÖRK BORG Bare Bones,17,17,"Dawn Calendar die, unique Miseries and fixed seventh 7:7","Dawn Calendar die, unique Miseries and fixed seventh 7:7",Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.miseries / Travel > Calendar,"yes: Dawn Calendar die, unique Miseries and fixed seventh 7:7",yes,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-calendar,,Character
core-full-calendar,MÖRK BORG Full Edition (Second Printing),20,16,"Dawn Calendar die, unique Miseries and fixed seventh 7:7","Dawn Calendar die, unique Miseries and fixed seventh 7:7",Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.miseries / Travel > Calendar,"yes: Dawn Calendar die, unique Miseries and fixed seventh 7:7",yes,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-calendar,,Character
core-miseries,MÖRK BORG Bare Bones,18; 19; 20,"18,19,20",The 36 random Miseries and final 7:7,The 36 random Miseries and final 7:7,Table,RESOLVED,—,4,1,4,Reference Desk > oracle:core.miseries / Travel > Calendar,yes: The 36 random Miseries and final 7:7,yes,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-miseries,,Character
core-full-miseries,MÖRK BORG Full Edition (Second Printing),21,17,The 36 random Miseries and final 7:7,The 36 random Miseries and final 7:7,Table,RESOLVED,—,4,1,4,Reference Desk > oracle:core.miseries / Travel > Calendar,yes: The 36 random Miseries and final 7:7,yes,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-miseries,,Character
core-character-creation,MÖRK BORG Bare Bones,21; 22; 23; 27; 29,"21,22,23,27,29",Core character creation and starting possessions,Core character creation and starting possessions,Procedure,PRESENT_BUT_INDIRECT,P2,2,3,6,Campaign > Characters > New,indirect: Core character creation and starting possessions,no,n/a,Creation is implemented and saved sheet is usable; no campaign-independent creation rule/procedure reference. Optional classless ability route audited separately.,"Expose concise source creation order as a reference linked to existing tables, preserving optional setup.",core-character-creation,CLASS_REFERENCE; PROCEDURE,Character
core-full-character-creation,MÖRK BORG Full Edition (Second Printing),22; 23; 24; 25; 26; 27; 28; 30; 32,"18, 19, 20, 21, 24, 26, 28; weapon continuation spread has no visible printed number",Core character creation and starting possessions,Core character creation and starting possessions,Procedure,PRESENT_BUT_INDIRECT,P2,2,3,6,Campaign > Characters > New,indirect: Core character creation and starting possessions,no,n/a,Creation is implemented and saved sheet is usable; no campaign-independent creation rule/procedure reference. Optional classless ability route audited separately.,"Expose concise source creation order as a reference linked to existing tables, preserving optional setup.",core-character-creation,CLASS_REFERENCE; PROCEDURE,Character
core-names,MÖRK BORG Bare Bones,2,2,Names d6 × d8,Names d6 × d8,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.names > ROLL / TABLE,yes: Names d6 × d8,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-names,,Character
core-full-names,MÖRK BORG Full Edition (Second Printing),2,unnumbered / see page ledger,Names d6 × d8,Names d6 × d8,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.names > ROLL / TABLE,yes: Names d6 × d8,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-names,,Character
core-weather,MÖRK BORG Bare Bones,4,4,Weather d12,Weather d12,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.weather > ROLL / TABLE,yes: Weather d12,yes,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-weather,,Character
core-full-weather,MÖRK BORG Full Edition (Second Printing),2,unnumbered / see page ledger,Weather d12,Weather d12,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.weather > ROLL / TABLE,yes: Weather d12,yes,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-weather,,Character
core-traps,MÖRK BORG Bare Bones,4,4,Traps and Devilry d12,Traps and Devilry d12,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.traps > ROLL / TABLE,yes: Traps and Devilry d12,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-traps,,Character
core-full-traps,MÖRK BORG Full Edition (Second Printing),2,unnumbered / see page ledger,Traps and Devilry d12,Traps and Devilry d12,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.traps > ROLL / TABLE,yes: Traps and Devilry d12,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-traps,,Character
core-corpse,MÖRK BORG Bare Bones,4; 5,"4,5",Corpse Plundering d66,Corpse Plundering d66,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.corpsePlundering > ROLL / TABLE,yes: Corpse Plundering d66,yes,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-corpse,,Character
core-full-corpse,MÖRK BORG Full Edition (Second Printing),3,unnumbered / see page ledger,Corpse Plundering d66,Corpse Plundering d66,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.corpsePlundering > ROLL / TABLE,yes: Corpse Plundering d66,yes,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-corpse,,Character
core-basilisks-demand,MÖRK BORG Bare Bones,36,36,The Basilisks Demand d20,The Basilisks Demand d20,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.basilisksDemand > ROLL / TABLE,yes: The Basilisks Demand d20,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-basilisks-demand,,Character
core-full-basilisks-demand,MÖRK BORG Full Edition (Second Printing),41,37,The Basilisks Demand d20,The Basilisks Demand d20,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.basilisksDemand > ROLL / TABLE,yes: The Basilisks Demand d20,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-basilisks-demand,,Character
core-traits,MÖRK BORG Bare Bones,38,38,Terrible Traits: roll twice,Terrible Traits: roll twice,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.traits > ROLL / TABLE,yes: Terrible Traits: roll twice,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-traits,,Character
core-full-traits,MÖRK BORG Full Edition (Second Printing),43,39,Terrible Traits: roll twice,Terrible Traits: roll twice,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.traits > ROLL / TABLE,yes: Terrible Traits: roll twice,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-traits,,Character
core-bodies,MÖRK BORG Bare Bones,39,39,Broken Bodies d20,Broken Bodies d20,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.bodies > ROLL / TABLE,yes: Broken Bodies d20,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-bodies,,Character
core-full-bodies,MÖRK BORG Full Edition (Second Printing),44,40,Broken Bodies d20,Broken Bodies d20,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.bodies > ROLL / TABLE,yes: Broken Bodies d20,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-bodies,,Character
core-habits,MÖRK BORG Bare Bones,40,40,"Bad Habits d20, one roll","Bad Habits d20, one roll",Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.badHabits > ROLL / TABLE,"yes: Bad Habits d20, one roll",no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-habits,,Character
core-full-habits,MÖRK BORG Full Edition (Second Printing),45,41,"Bad Habits d20, one roll","Bad Habits d20, one roll",Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.badHabits > ROLL / TABLE,"yes: Bad Habits d20, one roll",no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-habits,,Character
core-tales,MÖRK BORG Bare Bones,41; 42,"41,42","Troubling Tales d20, one roll","Troubling Tales d20, one roll",Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.troublingTales > ROLL / TABLE,"yes: Troubling Tales d20, one roll",no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-tales,,Character
core-full-tales,MÖRK BORG Full Edition (Second Printing),46; 47,"42,43","Troubling Tales d20, one roll","Troubling Tales d20, one roll",Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.troublingTales > ROLL / TABLE,"yes: Troubling Tales d20, one roll",no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-tales,,Character
core-wander,MÖRK BORG Bare Bones,68,68,Where Do You Wander d12,Where Do You Wander d12,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.whereDoYouWander > ROLL / TABLE,yes: Where Do You Wander d12,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-wander,,Character
core-full-wander,MÖRK BORG Full Edition (Second Printing),92,unnumbered / see page ledger,Where Do You Wander d12,Where Do You Wander d12,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.whereDoYouWander > ROLL / TABLE,yes: Where Do You Wander d12,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-wander,,Character
core-contacts,MÖRK BORG Bare Bones,68; 69,"68,69",Who Contacts You d20,Who Contacts You d20,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.contacts > ROLL / TABLE,yes: Who Contacts You d20,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-contacts,,Character
core-full-contacts,MÖRK BORG Full Edition (Second Printing),92,unnumbered / see page ledger,Who Contacts You d20,Who Contacts You d20,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.contacts > ROLL / TABLE,yes: Who Contacts You d20,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-contacts,,Character
core-sparks,MÖRK BORG Bare Bones,69; 70,"69,70",Adventure Spark d100,Adventure Spark d100,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.sparks > ROLL / TABLE,yes: Adventure Spark d100,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-sparks,,Character
core-full-sparks,MÖRK BORG Full Edition (Second Printing),92,unnumbered / see page ledger,Adventure Spark d100,Adventure Spark d100,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.sparks > ROLL / TABLE,yes: Adventure Spark d100,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-sparks,,Character
core-dungeon-name,MÖRK BORG Bare Bones,71,71,Dungeon title: two d12 columns,Dungeon title: two d12 columns,Table,RESOLVED,—,3,1,3,Reference Desk > oracle:core.titleA > ROLL / TABLE,yes: Dungeon title: two d12 columns,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-dungeon-name,,Character
